Sno,Exercise Name,Exercise Intensity,METS,Reps/Time,Time Taken,Base,Rep Format,Type,Flow,Video-A,Video-B
251,LATERAL STEP TO OVER HEAD REACH,Moderate,5,2,12,REP,Double Movement,Body Weight,repetitive,1,1
252,NECK SIDE WAYS STRETCH,Easy,2.5,1,10,REP,Single Movement,Body Weight,repetitive,1,0
253,NEK UP AND DOWN STRETCH,Easy,2.5,1,10,REP,Single Movement,Body Weight,repetitive,1,0
254,NECK LATERAL STRETCH,Easy,2.5,1,10,REP,Single Movement,Body Weight,repetitive,1,0
255,SHOULDER STRETCH,Easy,2.5,1,15,REP,Single Movement,Body Weight,repetitive,1,0
256,FOREARM STRETCH,Easy,2.5,1,15,REP,Single Movement,Body Weight,repetitive,1,0
257,LYING FIGURE-4 STRETCH,Easy,2.5,1,20,REP,Single Movement,Body Weight,follow,0,0
258,SUPINE QUDRICEPS / HIP FLEXOR STRETCH,Easy,2.5,1,27,REP,Single Movement,Body Weight,follow,0,0
259,HANDS BEHIND BACK STRETCH,Easy,2.5,1,15,REP,Single Movement,Body Weight,follow,0,0
260,LYING GLUTE STRETCH,Easy,2.5,1,15,REP,Single Movement,Body Weight,follow,0,0
261,CHIN-UPS,High,6,5,15,REP,Single Movement,Dumbell/Barbell/Gym,follow,0,0
262,PULL-UPS,High,6,4,12,REP,Single Movement,Dumbell/Barbell/Gym,follow,0,0
263,NEUTRAL GRIP CHIN-UPS,High,6,4,12,REP,Single Movement,Dumbell/Barbell/Gym,follow,0,0
264,PARALLEL BAR DIPS,High,6,4,8,REP,Single Movement,Dumbell/Barbell/Gym,follow,0,0
265,HANGING LEG RAISE,Moderate,5,4,9,REP,Single Movement,Dumbell/Barbell/Gym,follow,0,0
266,HANGING LEG RAISE WITH TWIST,Moderate,5,4,18,REP,Single Movement,Dumbell/Barbell/Gym,follow,0,0
267,HANGING KNEE RAISE,Moderate,5,4,9,REP,Single Movement,Dumbell/Barbell/Gym,follow,0,0
268,LATERAL JUMPS (WITH CONES),High,6,3,12,REP,Single Movement,Body Weight,follow,1,0
269,FOWARD CONE JUMPS,High,6,1,16,REP,Single Movement,Body Weight,follow,0,0
270,LATERAL CONE JUMPS,High,6,1,8,REP,Single Movement,Body Weight,follow,0,0
271,LATERAL SHUFFLES (WITH CONES),High,6,2,10,REP,Single Movement,Body Weight,follow,0,0
272,HIGH KNEE FOWARD,High,6,1,10,REP,Single Movement,Body Weight,follow,0,0
273,BUTT KICKERS FORWARD,Moderate,5,1,12,REP,Single Movement,Body Weight,follow,0,0
274,REVERSE RUN,High,6,1,18,REP,Single Movement,Body Weight,follow,0,0
275,DIAGONAL JUMPS AND REVERSE RUN DRILLS,High,6,1,12,REP,Single Movement,Body Weight,follow,0,0
276,FROG JUMPS FORWARD,High,6,4,7,REP,Single Movement,Body Weight,follow,0,0
277,BURPEES (WITH PUSH-UPS),High,6,4,13,REP,Single Movement,Body Weight,repetitive,1,0
278,HALF KNEELING HAMSTRING STRETCH,Easy,2.5,1,20,REP,Single Movement,Body Weight,repetitive,1,1
279,INVERTED V STRETCH,Easy,2.5,1,15,REP,Single Movement,Body Weight,repetitive,1,0
280,JUMP SQUAT,High,6,5,10,REP,Single Movement,Body Weight,repetitive,1,0
281,KNEE UP TO T RAISE,Moderate,5,2,23,REP,Double Movement,Body Weight,repetitive,1,1
282,MOUNTAIN CLIMBER  (WITH TAPS),High,6,12,12,REP,Single Movement,Body Weight,repetitive,1,0
283,PLANK,Moderate,5,10,10,TIME,Single Movement,Body Weight,repetitive,1,0
284,SIDE PLANK,High,6,20,20,TIME,Double Movement,Body Weight,repetitive,1,1
285,SINGLE HAND PLANK,High,6,20,20,TIME,Double Movement,Body Weight,repetitive,1,1
286,STATIONERY LUNGES,High,6,5,20,REP,Single Movement,Body Weight,repetitive,1,1
287,PUSH-UPS,High,6,4,12,REP,Single Movement,Body Weight,repetitive,1,0
288,TRICEP DIPS,Moderate,5,4,11,REP,Single Movement,Body Weight,repetitive,1,0
289,HAND CHANGE,Nil,0,NA,NA,NA,NA,NA,NA,,
290,LEG CHANGE,Nil,0,NA,NA,NA,NA,NA,NA,,
291,BREATHING EXERCISES OR PRANAYAM,Easy,2.8,NA,NA,NA,NA,Body Weight,yoga free workout video,,
292,EXERCISES FOR DIABETES,Moderate,3,NA,NA,NA,NA,Body Weight,yoga free workout video,,
293,EXERCISES FOR HIGH BLOOD PRESSURE PROBLEM,Easy,3,NA,NA,NA,NA,Body Weight,yoga free workout video,,
294,EXERCISES FOR INSOMNIA,Easy,3,NA,NA,NA,NA,Body Weight,yoga free workout video,,
295,EXERCISES FOR LOWER BACK PAIN,Easy,3,NA,NA,NA,NA,Body Weight,yoga free workout video,,
296,EXERCISES FOR NECK PAIN,Easy,2.5,NA,NA,NA,NA,Body Weight,yoga free workout video,,
297,EXERCISES FOR PREGNANCY,Moderate,3,NA,NA,NA,NA,Body Weight,yoga free workout video,,
298,SUN SALUTATION OR SURYANAMASKAR,High,5,NA,NA,NA,NA,Body Weight,yoga free workout video,,
290,,,,,,,,,,,
300,,,,,,,,,,,
